title,species,home_world,body,abilities,first_appearance,img_links,character_type
Alien X (Classic),Celestialsapien,Forge of Creation,Humanoid,"Mental Reality Warping,Unlimited Powers,",X = Ben + 2,https://static.wikia.nocookie.net/ben10/images/3/38/OV_AlienX.png/revision/latest?cb=20230814040212,Hero
Ampfibian (Classic),Amperi,Tesslos,Humanoid Jellyfish,"Bio-Electrokinesis,Electricity Waves,Electrical Telekinesis,Energy Absorption,Energy Redirection,(via Energy Absorption),Force Field Generation,Electroporation,Intangibility,Flight,Levitation,Elasticity,Small Space Maneuvering,Enhanced Strength,Enhanced Durability,Enhanced Speed,(via Flight),Enhanced Reflexes,Enhanced Dexterity,Underwater Breathing,Speed Swimming,Electrical Telepathy,Electrical Possession,Technological Manipulation,Technological Destruction",Fused,https://static.wikia.nocookie.net/ben10/images/2/2b/OV_AmpFibian.png/revision/latest?cb=20210515173746,Hero
Arctiguana,Polar Manzardill,X'Nelli,Iguana,"Freeze Rays,Ice Constructs,(via Freeze Rays),Freeze Ray Propulsion,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Cold Immunity,Wall Scaling,Bipedalism","Ben 10,000",https://static.wikia.nocookie.net/ben10/images/e/e6/OV_Teen_Arctiguana.png/revision/latest?cb=20200518004848,Hero
Armodrillo,Talpaedan,Poiana Lüncas,Robotic Humanoid Armadillo,"Drill Hands,Piston Olecranons,Jackhammer Arms,Jackhammer Propulsion,Rocket Pistons,Earthquake Generation,Fissure Generation,Enhanced Strength,Shock Wave Generation,Enhanced Durability,Enhanced Digging,Neuroshock Blast Immunity,Air Blender,Arm Extension,Finger Retraction",Hero Time,https://static.wikia.nocookie.net/ben10/images/1/10/OV_Armodrillo_Stand.png/revision/latest?cb=20210904223525,Hero
Astrodactyl,Unknown,Terradino,Humanoid Pterosaur,"Flight,(via Jetpack),Retractable Wings,Propulsion Blast,Energy Weaponry,Energy Whips,Energy Breath,Energy Shockwaves,Internal Star Power,Star Weaponry,Space Survivability,Enhanced Speed,(via Flight),Enhanced Agility,Enhanced Strength,Enhanced Durability,Enhanced Reflexes,Gas Immunity,Prehensile Feet",While You Were Away,https://static.wikia.nocookie.net/ben10/images/a/a2/Astrodactyl_Wings.png/revision/latest?cb=20200522084519,Hero
Atomic-X,"½,Celestialsapien,½,Atomix's Species",No info,Robotic Humanoid,"Mental Reality Warping,Unlimited Powers,",And Then There Were None,https://static.wikia.nocookie.net/ben10/images/1/16/Atomic_X_Stand.png/revision/latest?cb=20200515103333,Hero
Atomix,Unknown,Unknown,Robotic Humanoid,"Atomokinesis,Nucleokinesis,Chemokinesis,Radiokinesis,Ergokinesis,Photokinesis,Space Survivability,Jet Feet,Flight,Enhanced Strength,Enhanced Durability,Enhanced Agility,Enhanced Speed,(via Flight)",For a Few Brains More,https://static.wikia.nocookie.net/ben10/images/c/c5/OmniverseAtomix.png/revision/latest?cb=20200601012256,Hero
Ball Weevil,Unknown,"Atrocius 0,(formerly)",Insectoid,"Plasma Ball Generation,Plasma Whips,Enhanced Agility,Enhanced Balancing,Enhanced Dexterity,Enhanced Speed,Enhanced Strength,Enhanced Durability,Small-Space Maneuvering,Wall Climbing,Bipedalism,Via Plasma Balls:,Matter Absorption,Energy Absorption",Of Predators and Prey: Part 1,https://static.wikia.nocookie.net/ben10/images/2/2c/Ball_weevil_omniverse_official.png/revision/latest?cb=20220727052729,Hero
Bat-Dude,Vladat,"Anur Vladias,(,Dimension 23,),(native; formerly),Anur Transyl,(,Dimension 23,)",Humanoid Vampire,"Enhanced Strength,Enhanced Durability,Enhanced Agility,Enhanced Reflexes,Enhanced Speed,Enhanced Stamina,Enhanced Jumping,Hypnosis,Flight,Sharp Fangs,Sharp Claws,Prehensile Feet,Quadrupedalism,Energy Absorption,Life Force Draining,Sonic Explosion,Corruptura,Projectiles,Hypnosis Immunity,Infrared Vision,Bat Transformation,Space Survivability",No info,https://static.wikia.nocookie.net/ben10/images/3/36/Bat-Dude.png/revision/latest?cb=20200609070505,Hero
Big Bug,Lepidopterran,"Lepidopterra,(,Dimension 23,)",Winged Insectoid,"Slime Projectiles,Fire Suppression,(via Slime Projectiles),Fire Amplification,(via Slime Projectiles),Slime Spit,Slime Ensnarement,Flight,Sharp Tail,Enhanced Strength,Enhanced Durability,Enhanced Speed,(via Flight),Enhanced Reflexes,Movable Eyes,360° Vision,(via Movable Eyes),Strong Smell,Toxic Gas,Methane Gas",And Then There Was Ben,https://static.wikia.nocookie.net/ben10/images/7/7f/Big_Bug.png/revision/latest?cb=20200409100331,Hero
Big Chill (Classic),Necrofriggian,Kylmyys,Humanoid Moth,"Cryokinesis,Freezing Breath,Wind Breath,Ice Constructs,Cryokinetic Touch,Intangibility,Cryo-Phasing,Flight,Levitation,Sharp Claws,Foldable Wings,Enhanced Strength,Enhanced Durability,Enhanced Speed,(via Flight),Enhanced Reflexes,Space Survivability,Underwater Breathing,Radiation Immunity,Cold Immunity,Heat Resistance,Hypnosis Resistance,Ice Beams,Ice Shard Spit,Ice Trail,Prehensile Feet,Strong Teeth,Mouth Expansion,Solid Matter Ingestion,Molten Steel Ingestion,Enhanced Stomach Capacity,Stomach Heat Insulation",Kevin's Big Score,https://static.wikia.nocookie.net/ben10/images/9/9e/OV_BigChill.png/revision/latest?cb=20200601030925,Hero
Big Chuck,"½ Perk,Gourmand,½,To'kustar",No info,No info,"Solid Matter Ingestion,Explosive Vomit,Enhanced Strength,Enhanced Speed",Let's Do the Time War Again,https://static.wikia.nocookie.net/ben10/images/d/de/Big_chuck.png/revision/latest?cb=20141129044823,Hero
Blitzwolfer,Loboan,Luna Lobo,Werewolf/Humanoid Canine,"Sonic Howls,Sonic Redirection,Sonic Propulsion,Sharp Teeth,Sharp Claws,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Speed,Enhanced Reflexes,Enhanced Smelling,Enhanced Hearing,Corrodium,Immunity,Lava Immunity,Wall Scaling,Prehensile Feet,Night Vision,Quadrupedalism",Benwolf,https://static.wikia.nocookie.net/ben10/images/a/a8/20298.png/revision/latest?cb=20200522084648,Hero
Bloxx (Classic),Segmentasapien,Polyominus,Gorilla Made of Building Blocks,"Shapeshifting,Touvlokinesis,Explosive Projectiles,(via Bloxx-Lobbers),Elasticity,Regeneration,Size Alteration,Body Alteration,Body Separation,Body Encasing,Sphere Transformation,Heat Resistance,Radiation Immunity,Enhanced Strength,Enhanced Agility,Enhanced Durability,Enhanced Dexterity,Enhanced Jumping,Enhanced Reflexes,Enhanced Speed,(via Sphere Transformation),Space Survivability,Suction Immunity",The More Things Change: Part 1,https://static.wikia.nocookie.net/ben10/images/5/5b/Bloxx.png/revision/latest?cb=20230814040045,Hero
Brainfrog,Galvan,"Galvan Prime,(,Dimension 23,)",Humanoid Frog,"Enhanced Intelligence,Technological Expertise,Small Space Maneuvering,Enhanced Jumping,Enhanced Reflexes,Underwater Breathing,Wall Scaling,Long Prehensile Tongue,Sharp Teeth,Linguistic Intelligence","It's a Mad, Mad, Mad Ben World: Part 2",https://static.wikia.nocookie.net/ben10/images/9/93/Brain_frog.png/revision/latest?cb=20141104171202,Hero
