Alignment,Character,Combat,Creator,Durability,Gender,Height,IQ,Intelligence,Level,Place_of_birth,Power,Species,Speed,Speed_velocity,Strength,Strength_force,Super_powers,Tier,Universe,Weight,combat_str,durability_str,height_str,intelligence_str,level_str,power_str,speed_str,speed_velocity_str,strength_str,strength_force_str,tier_str,weight_str,name,img_links
Good,adam,40,None,15,Male,-,110,55,1,Unknown,35,Human,10,18,25,8000,"acrobatics,agility,durability,jump,stamina,superspeed,superstrength,endurance,reflexes",1,The Hollow,-,combat36to40,durability15,heighthuge,intelligence51to55,level1,power31to35,speed6to10,sv1-1000,strength21to25,sf5001-10000,tier1,weightunknown,Adam,https://static.wikia.nocookie.net/villains/images/b/bc/Adam_%28MC%29.webp/revision/latest?cb=20220909213359
Bad,badben,60,Cartoon Network,60,Male,-,130,65,3,Unknown,70,None,80,290000000,50,400000,"blackholemanipulation,durability,intangibility,invisibility,jump,levitation,superspeed,superstrength,abilityshift,dexterity,electricaltransport,electrokinesis,endurance,energybeams,energyblasts,gravitycontrol,invulnerability,omnitrix,possession,reflexes,seismicpower,shapeshifting,sizechanging,technopath/cyberpath,telekinesis",4,Earth-616,-,combat56to60,durability60,heighthuge,intelligence61to65,level3,power66to70,speed76to80,sv100000001-1000000000,strength46to50,sf100001-1000000,tier4,weightunknown,Bad Ben,https://static.wikia.nocookie.net/villains/images/d/d4/598px-DarthVader-CotF.jpg/revision/latest/scale-to-width-down/250?cb=20121114011123
Bad,aldrichkillian,60,Marvel Comics,25,Male,-,150,75,2,Unknown,50,Metahuman,6,10,5,200,"acceleratedhealing,coldresistance,energybeams,energyblasts,firecontrol,fireresistance,hacking,heatgeneration,heatresistance,reflexes,regeneration",1,Earth-13122,-,combat56to60,durability25,heighthuge,intelligence71to75,level2,power46to50,speed6to10,sv1-1000,strength1to5,sf1-1000,tier1,weightunknown,Aldrich Killian,https://static.wikia.nocookie.net/villains/images/8/88/Lego_Aldrick_Killian.webp/revision/latest?cb=20230329171041
Good,batwoman,80,DC Comics,15,Female,"165.1 cm • 5'5""",150,75,1,Unknown,15,Human,6,10,1,120,"adaptation,agility,dexterity,durability,gadgetusage,intelligence,peakhumancondition,stamina,stealth,empathy,grappling/climbing,indomitablewill,informationanalysis,marksmanship,mastermartialartist,mastertactician,preparation,reflexes,swordsmanship,vehicularmastery,weapon-basedpowers,weaponsmaster",1,Earth 3,50 kg • 110.23 lbs,combat76to80,durability15,height0-5,intelligence71to75,level1,power11to15,speed6to10,sv1-1000,strength1to5,sf1-1000,tier1,weight1-1000,Batwoman,https://static.wikia.nocookie.net/superheroes/images/0/05/Batwoman_kate_Kane.jpg/revision/latest/scale-to-width-down/250?cb=20230419023926
Bad,agony,70,Marvel Comics,50,None,-,100,50,2,"Life Foundation Lab, Mojave Desert (Venom symbiote hatchling extracted by Life Foundation)",60,Alien,25,313,25,23000,"acceleratedhealing,acrobatics,camouflage,cloaking,durability,elasticity,stamina,stealth,superspeed,superstrength,symbiotecostume,symbioticregeneration,vision-night,wallcrawling,webcreation,acidicspit,agility,biokinesis,coldresistance,dangersense,endurance,hive-mind,insanity,jump,longevity,naturalweapons,radiationimmunity,reflexes,regeneration,spatialawareness,toxinanddiseaseresistance,vitakinesis,weaponcreation,animalattributes,animalorientedpowers,chemokinesis,mindcontrolresistance,possession,shapeshifting,sizechanging,substancesecretion,telepathyresistance,transformation",2,Earth-616,-,combat66to70,durability50,heighthuge,intelligence46to50,level2,power56to60,speed21to25,sv1-1000,strength21to25,sf10001-100000,tier2,weightunknown,Agony (Carnage-Infested),https://static.wikia.nocookie.net/villains/images/6/68/Extreme_Carnage_Agony_Vol_1_1_Design_Variant.jpg/revision/latest?cb=20211124134136
Neutral,agony,70,Marvel Comics,50,None,-,100,50,2,"Life Foundation Lab, Mojave Desert (Venom symbiote hatchling extracted by Life Foundation)",60,Alien,25,313,25,23000,"acceleratedhealing,acrobatics,camouflage,cloaking,durability,elasticity,stamina,stealth,superspeed,superstrength,symbiotecostume,symbioticregeneration,vision-night,wallcrawling,webcreation,acidicspit,agility,biokinesis,coldresistance,dangersense,endurance,hive-mind,jump,longevity,naturalweapons,radiationimmunity,reflexes,regeneration,spatialawareness,toxinanddiseaseresistance,vitakinesis,weaponcreation,animalattributes,animalorientedpowers,chemokinesis,mindcontrolresistance,possession,shapeshifting,sizechanging,substancesecretion,telepathyresistance,transformation",2,Earth-616,-,combat66to70,durability50,heighthuge,intelligence46to50,level2,power56to60,speed21to25,sv1-1000,strength21to25,sf10001-100000,tier2,weightunknown,Agony (Klyntar Symbiote),https://static.wikia.nocookie.net/villains/images/6/68/Extreme_Carnage_Agony_Vol_1_1_Design_Variant.jpg/revision/latest?cb=20211124134136
Bad,acnologia,90,Kodansha,90,Male,-,160,80,5,Unknown,90,Human,85,500000000,95,800000000,"abilityshift,accelerateddevelopment,acceleratedhealing,acrobatics,afterimagecreation,agility,attacknegation,bloodlust,chaosmanipulation,clairvoyanceresistance,coldresistance,corruption,corruptionresistance,cursemanipulation,curseresistance,damageboost,damagereduction,damagetransferal,dangersense,darkmagic,datamanipulation,deathmanipulation,dexterity,disguiseresistance,durability,durabilitynegation,electricityresistance,elementcontrol,emotionalpowerup,endurance,energymanipulation,energyresistance,enhancedcondition,enhancedhearing,enhancedmemory,enhancedsight,enhancedsmell,enhancedtaste,enhancedtouch,extrasensoryperception,fearinducement,fearmanipulation,fireresistance,heatgeneration,heatresistance,hyperkinesis,illusionresistance,illusions,immortalitynegation,indomitablewill,informationanalysis,informationmanipulation,instinctivereaction,intangibility,intelligence,invulnerability,longevity,magic,magicresistance,mattermanipulation,mindcontrol,mindcontrolresistance,oculartechniques,painmanipulation,painsuppression,possessionresistance,powerabsorption,powernullifier,preparation,rageinducement,ragepower,reactiveevolution,reactivepowerlevel,reflexes,regenerationnegation,seismicpower,sensemanipulation,sleepmanipulation,soulmanipulation,soulresistance,spatialawareness,spatialcommunication,spatialmanipulation,stamina,statisticsamplification,statisticsreduction,statuseffectinducement,stealth,superspeed,superstrength,telepathyresistance,toxinanddiseasecontrol,toxinanddiseaseresistance,unholymanipulation,unholyresistance,vibrationmanipulation,vision-microscopic,vision-night,vision-telescopic,vitakinesis,weaponcreation,weapon-basedpowers,weaponsmaster,weathercontrol,windcontrol,adaptation,animalorientedpowers,attackreflection,aura,awakenedpower,biokinesis,camouflage,clairvoyance,conceptualmanipulation,darkmattermanipulation,dimensionaltravel,dreammanipulation,fateresistance,forcefields,gravitycontrol,hypnokinesis,immortality,intuitiveaptitude,jump,lifemanipulation,magicabsorption,mastermartialartist,matterabsorption,memorymanipulation,mindtransfer,paralysis,photographicreflexes,possession,regeneration,summoning,telekinesis,telepathy,teleportation,timemanipulation,existenceerasureresistance,powermimicry,precognition,realitywarping",4,Fairy Tail,-,combat86to90,durability90,heighthuge,intelligence76to80,level5,power86to90,speed81to85,sv100000001-1000000000,strength91to95,sf100000001-1000000000,tier4,weightunknown,Acnologia,https://static.wikia.nocookie.net/villains/images/f/f7/KeyLocker.png/revision/latest/scale-to-width-down/25?cb=20190617223304
Bad,aggregor,100,Cartoon Network,30,Male,-,180,90,2,Unknown,40,None,30,2000,30,80000,"acrobatics,agility,dexterity,durability,electricityresistance,electrokinesis,energyabsorption,enhancedcondition,intelligence,jump,mastermartialartist,mastertactician,matterabsorption,peakhumancondition,radiationabsorption,reflexes,stamina,stealth,superspeed,superstrength,weaponsmaster,endurance,heatresistance,invulnerability,marksmanship,powerabsorption",1,Ben 10,-,combat96to100,durability30,heighthuge,intelligence86to90,level2,power36to40,speed26to30,sv1001-5000,strength26to30,sf10001-100000,tier1,weightunknown,Aggregor,https://static.wikia.nocookie.net/villains/images/f/f7/KeyLocker.png/revision/latest/scale-to-width-down/25?cb=20190617223304
Good,batwing,80,DC Comics,15,Male,"175.3 cm • 5'9""",160,80,1,Unknown,20,Human,17,30,8,300,"disguisemastery,gadgetusage,intelligence,mastermartialartist,preparation,stamina,stealth,acrobatics,agility,coldresistance,dexterity,endurance,gliding,grappling/climbing,hacking,heatresistance,informationanalysis,longevity,marksmanship,mastertactician,mechanicalaptitude,pressurepoints,reflexes,vehicularmastery,vision-infrared,vision-night,weapon-basedpowers,weaponsmaster,electrokinesis,flight,jump,smokemanipulation",1,Prime Earth,170.1 kg • 375.01 lbs,combat76to80,durability15,height0-5,intelligence76to80,level1,power16to20,speed16to20,sv1-1000,strength6to10,sf1-1000,tier1,weight1-1000,Batwing,https://static.wikia.nocookie.net/superheroes/images/b/be/Batwing.jpg/revision/latest/scale-to-width-down/250?cb=20230615035126
Bad,agentzero,85,Marvel Comics,10,Male,-,130,65,1,Unknown,15,Mutant,17,30,5,200,"acrobatics,bloodlust,endurance,marksmanship,mastermartialartist,mastertactician,reflexes,stamina,stealth,weaponsmaster,agility,dexterity,disguisemastery,jump,longevity",1,EMCU,-,combat81to85,durability10,heighthuge,intelligence61to65,level1,power11to15,speed16to20,sv1-1000,strength1to5,sf1-1000,tier1,weightunknown,Agent Zero,https://static.wikia.nocookie.net/villains/images/5/52/600px-XmenWolv_09.jpg/revision/latest/scale-to-width-down/350?cb=20200814224746
