name,img_links
A.R.G.U.S.,https://static.wikia.nocookie.net/superheroes/images/5/56/A.R.G.U.S..jpg/revision/latest/scale-to-width-down/250?cb=20181020194853
Abigail Brand,https://static.wikia.nocookie.net/superheroes/images/f/f6/Abigail_Brand.jpg/revision/latest/scale-to-width-down/250?cb=20150704145747
Abin Sur,https://static.wikia.nocookie.net/superheroes/images/2/26/Abin_Sur.png/revision/latest/scale-to-width-down/250?cb=20150428140108
Abnermal,https://static.wikia.nocookie.net/superheroes/images/7/7d/Abnermal.jpg/revision/latest/scale-to-width-down/250?cb=20180606234355
Acroyear,https://static.wikia.nocookie.net/superheroes/images/f/fb/Acroyear.jpg/revision/latest/scale-to-width-down/250?cb=20140329002304
Action Man,https://static.wikia.nocookie.net/superheroes/images/3/34/462FBF81-4AAD-4573-A6E5-2963B21ADD6E.jpeg/revision/latest/scale-to-width-down/220?cb=20200115140622
Action Pack,https://static.wikia.nocookie.net/superheroes/images/1/1b/Action_Pack_%28Group%29.jpeg/revision/latest/scale-to-width-down/250?cb=20221129131543
Adam Davenport,https://static.wikia.nocookie.net/superheroes/images/2/28/Download_%284%29.jpg/revision/latest?cb=20150909152700
Aero,https://static.wikia.nocookie.net/superheroes/images/b/b0/Aero.jpg/revision/latest/scale-to-width-down/250?cb=20191009222618
Agent Honeydew,https://static.wikia.nocookie.net/superheroes/images/8/81/Agent_Honeydew.jpg/revision/latest/scale-to-width-down/250?cb=20160221034623
Agents of S.M.A.S.H.,https://static.wikia.nocookie.net/superheroes/images/8/84/Agents_of_S.M.A.S.H..webp/revision/latest/scale-to-width-down/250?cb=20221231134319
Alex Wilder,https://static.wikia.nocookie.net/superheroes/images/7/70/Alex_Wilder.jpg/revision/latest/scale-to-width-down/250?cb=20170117013425
All Might,https://static.wikia.nocookie.net/superheroes/images/d/d6/AllMight.png/revision/latest/scale-to-width-down/250?cb=20200920220355
Allen the Alien,https://static.wikia.nocookie.net/superheroes/images/d/d9/Allen_the_Alien.jpg/revision/latest/scale-to-width-down/250?cb=20170911153417
Amazing Acquaintances,https://static.wikia.nocookie.net/superheroes/images/7/79/The_Amazing_Acquaintances.png/revision/latest/scale-to-width-down/250?cb=20220718234913
Amazing T-Girl,https://static.wikia.nocookie.net/superheroes/images/e/e6/The_Amazing_T-Girl.jpeg/revision/latest/scale-to-width-down/250?cb=20221125183030
America Chavez,https://static.wikia.nocookie.net/superheroes/images/0/0b/Miss_America_AC.jpg/revision/latest/scale-to-width-down/350?cb=20230728035805
American,https://static.wikia.nocookie.net/superheroes/images/5/51/The_American.jpg/revision/latest/scale-to-width-down/250?cb=20150211051311
American (Cla$$war),https://static.wikia.nocookie.net/superheroes/images/d/dc/Enola_Gay.jpg/revision/latest/scale-to-width-down/250?cb=20151105033806
American Dragon,https://static.wikia.nocookie.net/superheroes/images/8/8e/Jake_Long%27s_Dragon_Form_season_1.jpeg/revision/latest/scale-to-width-down/250?cb=20231205212012
American Rabbit,https://static.wikia.nocookie.net/superheroes/images/0/01/American_Rabbit.png/revision/latest/scale-to-width-down/250?cb=20190826222337
Category:American Superheroes,https://static.wikia.nocookie.net/superheroes/images/c/c8/Captain_America.webp/revision/latest/scale-to-width-down/271?cb=20220912131211
Amok,https://static.wikia.nocookie.net/superheroes/images/6/67/Amok.jpg/revision/latest?cb=20180918144610
